Song_Title,Streams,Daily,Album,Type
Scheiße - DJ White Shadow Mugler,3410917,1048,Born This Way (Special Edition),Non-Soundtrack Song
Scheiße - Guena LG Club Remix,1002283,346,Born This Way The Remix,Non-Soundtrack Song
Sexxx Dreams,37267803,12062,Artpop,Non-Soundtrack Song
Shallow,2108799907,892720,A Star Is Born Soundtrack,Soundtrack Song
Sine From Above (with Elton John),51483076,11797,Chromatica,Non-Soundtrack Song
"Sine From Above (with Elton John) - Chester Lockhart, Mood Killer & Lil Texas Remix",3129029,1445,Dawn Of Chromatica,Non-Soundtrack Song
Sinner's Prayer,38536143,5828,Joanne,Non-Soundtrack Song
So Happy I Could Die,46563710,18173,The Fame Monster,Non-Soundtrack Song
Sour Candy (with BLACKPINK),321307545,153773,Chromatica,Non-Soundtrack Song
Sour Candy (with BLACKPINK) - Shygirl & Mura Masa Remix,6821746,4532,Dawn Of Chromatica,Non-Soundtrack Song
Speechless,61458665,19493,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Starstruck,46135753,18040,The Fame,Non-Soundtrack Song
Stupid Love,347046312,95619,Chromatica,Non-Soundtrack Song
Stupid Love - COUCOU CHLOE Remix,4764017,2719,Dawn Of Chromatica,Non-Soundtrack Song
Stupid Love - Vitaclub Warehouse Mix,3876591,1038,Single,Non-Soundtrack Song
Summerboy,22950513,11169,The Fame,Non-Soundtrack Song
Swine,24809121,7510,Artpop,Non-Soundtrack Song
Teeth,48379764,16833,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Telephone,549328193,441099,The Fame Monster (Deluxe Edition),Non-Soundtrack Song
Telephone - Alphabeat Extended Remix,602247,174,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Alphabeat Remix Edit,1432398,511,Telephone (The DJ Remixes),Non-Soundtrack Song
Telephone - Crookers Vocal Remix,716792,173,Telephone (The Remixes),Non-Soundtrack Song
Telephone - DJ Dan Extended Vocal Remix,498922,118,Telephone (The Remixes),Non-Soundtrack Song
Telephone - DJ Dan Vocal Remix,1184627,141,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Doctor Rosen Rosen Main Remix,219761,45,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Electrolightz Remix,5161342,6001,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Kaskade Extended Remix,574458,329,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Kaskade Radio Remix,114066,152,Telephone (The DJ Remixes),Non-Soundtrack Song
Telephone - Ming Extended Remix,321378,178,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Passion Pit Remix,1437977,130,The Remix,Non-Soundtrack Song
Telephone - Tom Neville’s Ear Ringer Remix,120578,37,Telephone (The Remixes),Non-Soundtrack Song
Telephone - Tom Neville's Ear Ringer Radio Remix,210143,57,Telephone (The DJ Remixes),Non-Soundtrack Song
The Cure,355195038,52422,Single,Non-Soundtrack Song
The Edge Of Glory,252649109,143579,Born This Way,Non-Soundtrack Song
The Edge Of Glory - Bare Non-Soundtrack Songize Remix,357742,64,The Edge Of Glory (The Remixes),Non-Soundtrack Song
The Edge Of Glory - Cahill Club Mix,1270783,547,The Edge Of Glory (The Remixes),Non-Soundtrack Song
The Edge Of Glory - Foster The People Remix,1269733,200,The Edge Of Glory (The Remixes),Non-Soundtrack Song
The Edge Of Glory - Funkagenda Remix,297961,33,The Edge Of Glory (The Remixes),Non-Soundtrack Song
"The Edge Of Glory - Live From ""A Very Gaga Thanksgiving""",3708334,980,A Very Gaga Holiday,Non-Soundtrack Song
The Edge Of Glory - Porter Robinson Remix,261582,48,The Edge Of Glory (The Remixes),Non-Soundtrack Song
The Edge Of Glory - Sultan & Ned Shepard Remix,1574329,387,The Edge Of Glory (The Remixes),Non-Soundtrack Song
The Fame,37239711,13779,The Fame,Non-Soundtrack Song
The Fame - Glam As You Remix - Radio Edit Version,809236,147,The Remix,Non-Soundtrack Song
The Queen,8062235,3498,Born This Way,Non-Soundtrack Song
Til It Happens To You,41410604,11549,Single,Non-Soundtrack Song
Venus,70262363,26088,Artpop,Non-Soundtrack Song
White Christmas - Live,6876080,243,A Very Gaga Holiday,Non-Soundtrack Song
Why Did You Do That?,61906166,8352,A Star Is Born Soundtrack,Soundtrack Song
You And I,151699923,66606,Born This Way,Non-Soundtrack Song
Yoü And I - 10 Kings Remix,288216,49,You And I (Remixes),Non-Soundtrack Song
Yoü And I - ATB Remix,213316,56,You And I (Remixes),Non-Soundtrack Song
Yoü And I - Danny Verde Remix,122103,70,You And I (Remixes),Non-Soundtrack Song
"Yoü And I - Live from ""A Very Gaga Thanksgiving'""",2963771,872,A Very Gaga Holiday,Non-Soundtrack Song
Yoü And I - Mark Taylor Remix,508129,290,You And I (Remixes),Non-Soundtrack Song
Yoü And I - Mark Taylor Remix Radio Edit,172846,26,You And I (Remixes),Non-Soundtrack Song
Yoü And I - MetroNon-Soundtrack Songmy Remix,850472,90,You And I (Remixes),Non-Soundtrack Song
Yoü And I - Radio Edit,984958,147,You And I (Remixes),Non-Soundtrack Song
Yoü And I - Wild Beasts Remix,1185104,131,You And I (Remixes),Non-Soundtrack Song
Your Song,39359504,13579,Single,Non-Soundtrack Song
